,expiry,date,strike,id,type,path,is_atm
180,20170125,20170109,2200,10000826,P,E:/Pycharm/data/option_data\20170125\20170109\2200\10000826P\10000826vols_data.csv,0
181,20170222,20170109,2200,10000831,C,E:/Pycharm/data/option_data\20170222\20170109\2200\10000831C\10000831vols_data.csv,0
182,20170222,20170109,2250,10000832,C,E:/Pycharm/data/option_data\20170222\20170109\2250\10000832C\10000832vols_data.csv,0
183,20170222,20170109,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170109\2300\10000833C\10000833vols_data.csv,1
184,20170222,20170109,2350,10000834,C,E:/Pycharm/data/option_data\20170222\20170109\2350\10000834C\10000834vols_data.csv,0
185,20170222,20170109,2400,10000835,C,E:/Pycharm/data/option_data\20170222\20170109\2400\10000835C\10000835vols_data.csv,0
186,20170222,20170109,2450,10000841,C,E:/Pycharm/data/option_data\20170222\20170109\2450\10000841C\10000841vols_data.csv,0
187,20170222,20170109,2200,10000836,P,E:/Pycharm/data/option_data\20170222\20170109\2200\10000836P\10000836vols_data.csv,0
188,20170222,20170109,2250,10000837,P,E:/Pycharm/data/option_data\20170222\20170109\2250\10000837P\10000837vols_data.csv,0
189,20170222,20170109,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170109\2300\10000838P\10000838vols_data.csv,1
190,20170222,20170109,2350,10000839,P,E:/Pycharm/data/option_data\20170222\20170109\2350\10000839P\10000839vols_data.csv,0
191,20170322,20170109,2250,10000675,C,E:/Pycharm/data/option_data\20170322\20170109\2250\10000675C\10000675vols_data.csv,0
192,20170322,20170109,2300,10000787,C,E:/Pycharm/data/option_data\20170322\20170109\2300\10000787C\10000787vols_data.csv,1
193,20170322,20170109,2350,10000788,C,E:/Pycharm/data/option_data\20170322\20170109\2350\10000788C\10000788vols_data.csv,0
194,20170322,20170109,2400,10000789,C,E:/Pycharm/data/option_data\20170322\20170109\2400\10000789C\10000789vols_data.csv,0
195,20170322,20170109,2450,10000790,C,E:/Pycharm/data/option_data\20170322\20170109\2450\10000790C\10000790vols_data.csv,0
196,20170322,20170109,2500,10000791,C,E:/Pycharm/data/option_data\20170322\20170109\2500\10000791C\10000791vols_data.csv,0
