,sec,average_accu_orders
13167,13167,21710.87011596925
13168,13168,21712.704179264372
13169,13169,21714.646911966185
13170,13170,21715.732141013297
13171,13171,21716.82587831489
13172,13172,21718.26812914429
13173,13173,21720.154471468995
13174,13174,21721.688990280156
13175,13175,21724.702623745798
13176,13176,21727.522308238273
13177,13177,21728.72053867206
13178,13178,21730.833583568652
13179,13179,21731.75876911615
13180,13180,21732.94585435098
13181,13181,21734.264068340897
13182,13182,21735.65346483719
13183,13183,21736.86520792879
13184,13184,21737.85909046922
13185,13185,21739.395610622527
13186,13186,21739.574910227504
13187,13187,21741.610987161865
13188,13188,21742.50864477167
13189,13189,21744.738918391085
13190,13190,21746.285729913605
13191,13191,21747.29873142808
13192,13192,21747.756610699224
13193,13193,21748.17327830191
13194,13194,21750.2674009101
13195,13195,21751.48521340883
13196,13196,21752.61231716124
13197,13197,21754.395215302367
13198,13198,21755.021692041988
13199,13199,21756.22103855711
13200,13200,21757.778326398762
13201,13201,21759.37018974131
13202,13202,21761.248989795768
13203,13203,21764.197861106375
13204,13204,21766.689552546286
13205,13205,21769.179916434136
13206,13206,21772.7244025793
13207,13207,21775.61442054173
13208,13208,21778.470037063027
13209,13209,21780.876203879016
13210,13210,21782.001284422888
13211,13211,21784.05504939951
13212,13212,21787.128163659476
13213,13213,21790.38970161066
13214,13214,21794.123199732414
13215,13215,21797.21335993837
13216,13216,21799.840346160094
13217,13217,21801.912460000243
13218,13218,21804.31792743316
13219,13219,21807.137800118573
13220,13220,21808.073780798128
13221,13221,21809.922210470366
13222,13222,21812.87909729235
13223,13223,21816.69416534769
13224,13224,21820.40222243526
13225,13225,21823.58736500353
13226,13226,21825.89839217541
13227,13227,21828.110372169358
13228,13228,21831.09634515057
13229,13229,21833.986038601957
13230,13230,21835.79725454176
13231,13231,21836.79886668659
13232,13232,21839.016594566747
13233,13233,21840.5288584773
13234,13234,21842.81615260892
13235,13235,21845.109329598214
13236,13236,21846.77943877662
13237,13237,21848.634107608366
13238,13238,21851.348226058806
13239,13239,21853.024991824554
13240,13240,21855.319745963658
13241,13241,21858.12870560407
13242,13242,21861.25286104085
13243,13243,21865.01562472475
13244,13244,21867.41739928316
13245,13245,21868.8147391113
13246,13246,21870.687417964225
13247,13247,21872.456353761547
13248,13248,21875.74343130299
13249,13249,21877.892023248616
13250,13250,21879.257774274145
13251,13251,21880.08588693718
13252,13252,21881.64950497243
13253,13253,21882.29746449432
13254,13254,21883.980015765377
13255,13255,21885.28141553855
13256,13256,21886.543004645126
13257,13257,21887.99553005788
13258,13258,21890.956604520736
13259,13259,21893.442258962437
13260,13260,21894.30966246609
