,date,tomorrow_bid1,OptionPrice,tomorrow_delta_cost,tomorrow_vega_cost,volume,profit,cum_profit
158,2018-02-26,0.0008,0.000454226,-0.0,-1.1125500000000004e-08,0.0,-0.0,89.19532448991559
159,2018-02-27,0.0,0.00294968,-0.0,-7.150653846153848e-10,-114.1,-0.33655856958896035,88.85876592032663
160,2018-02-27,0.0,0.000254372,-0.0,-5.735634615384615e-25,-24.45,-0.0062193954,88.85254652492664
161,2018-02-27,0.0,0.000254372,-0.0,-5.735634615384615e-25,-24.45,-0.0062193954,88.84632712952664
162,2018-02-28,,0.0,,,-55.3,,
163,2018-02-28,,2.61596e-05,,,-11.85,,
164,2018-02-28,,0.0,,,-11.85,,
165,2018-03-01,0.0284,0.0244523,-0.0,-4.6665e-07,-24.0,0.09473360040000003,88.94106072992665
166,2018-03-02,0.015,0.018972,-0.0,-3.422115384615386e-07,-9.8,-0.03892895367307692,88.90213177625357
167,2018-03-02,0.0235,0.028548700000000007,-0.0,-4.276750000000001e-07,-4.2,-0.02120633623500003,88.88092544001857
168,2018-03-05,0.009000000000000001,0.015576,-0.0,-2.5058461538461545e-07,0.0,0.0,88.88092544001857
169,2018-03-05,0.009000000000000001,0.015576,-0.0,-2.5058461538461545e-07,0.0,0.0,88.88092544001857
170,2018-03-05,0.0142,0.0235914,-0.0,-3.401096153846154e-07,0.0,0.0,88.88092544001857
171,2018-03-06,0.0181,0.0139896,-0.0,-3.7402115384615395e-07,0.0,-0.0,88.88092544001857
172,2018-03-06,0.0112,0.00854246,-0.0,-2.817134615384616e-07,0.0,-0.0,88.88092544001857
173,2018-03-06,0.0112,0.00854246,-0.0,-2.817134615384616e-07,0.0,-0.0,88.88092544001857
174,2018-03-07,0.0122,0.0182291,-0.0,-2.996057692307693e-07,-1.4,-0.008441159448076923,88.87248428057049
175,2018-03-07,0.0122,0.0182291,-0.0,-2.996057692307693e-07,-0.3,-0.0018088198817307693,88.87067546068876
176,2018-03-07,0.0075,0.0109877,-0.0,-2.1977115384615387e-07,-0.3,-0.0010463759313461538,88.8696290847574
177,2018-03-08,0.0088,0.011876799999999998,-0.0,-2.573576923076924e-07,-16.799999999999994,-0.051694563609230706,88.81793452114817
178,2018-03-08,0.0088,0.011876799999999998,-0.0,-2.573576923076924e-07,-3.6,-0.0110774064876923,88.80685711466049
179,2018-03-08,0.0088,0.011876799999999998,-0.0,-2.573576923076924e-07,-3.6,-0.0110774064876923,88.7957797081728
180,2018-03-09,0.0079,0.00884752,-0.0,-2.2482115384615388e-07,0.0,0.0,88.7957797081728
181,2018-03-09,0.0079,0.00884752,-0.0,-2.2482115384615388e-07,0.0,0.0,88.7957797081728
182,2018-03-09,0.0079,0.00884752,-0.0,-2.2482115384615388e-07,0.0,0.0,88.7957797081728
183,2018-03-12,0.0127,0.00771411,-0.0,-2.841846153846155e-07,-60.2,0.3001334700861539,89.09591317825895
184,2018-03-12,0.0127,0.00771411,-0.0,-2.841846153846155e-07,-12.9,0.06431431501846153,89.16022749327742
185,2018-03-12,0.0127,0.00771411,-0.0,-2.841846153846155e-07,-12.9,0.06431431501846153,89.22454180829588
